 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
11484,315.811,34.267,1249.759,1099.339,0.810,2.037,1.907,4.798,3.352,3.252,13.880,0.326,0.826,0.357,0.913,0.841,2.150,1.154,1
11485,316.113,62.590,1776.411,1136.731,0.955,0.714,2.248,1.680,1.964,2.525,20.003,0.296,0.227,0.311,0.242,0.733,0.571,0.465,1
11486,310.559,51.540,1715.695,1148.209,1.003,1.270,2.363,2.992,2.677,2.944,14.592,0.284,0.359,0.307,0.387,0.723,0.911,0.582,1
11487,313.099,59.585,1692.183,1158.611,0.955,0.817,2.248,1.923,2.086,2.936,21.254,0.333,0.281,0.343,0.318,0.808,0.749,0.551,1
11488,319.466,33.953,1451.331,1162.797,1.294,0.709,3.046,1.668,2.357,3.726,23.399,0.903,0.519,0.944,0.503,2.224,1.184,1.260,1
11489,319.392,49.680,1843.365,1199.928,1.427,1.632,3.360,3.843,3.602,4.876,13.895,0.397,0.456,0.476,0.542,1.122,1.277,0.850,1
11490,315.159,53.304,958.535,1246.897,1.039,0.986,2.446,2.322,2.384,2.913,17.058,0.333,0.316,0.353,0.331,0.832,0.780,0.570,1
11491,311.351,66.872,106.921,1252.426,0.820,0.649,1.930,1.528,1.729,2.664,30.780,0.299,0.217,0.282,0.370,0.665,0.872,0.548,1
11492,319.996,61.787,961.779,1256.899,0.582,1.005,1.369,2.367,1.868,2.706,24.560,0.282,0.370,0.259,0.378,0.609,0.889,0.539,1
11493,324.270,36.320,958.178,1281.427,0.897,1.117,2.113,2.630,2.372,3.132,18.587,0.463,0.574,0.479,0.606,1.129,1.427,0.910,1
11494,314.558,49.282,319.599,1283.419,0.883,0.832,2.080,1.960,2.020,2.151,16.350,0.281,0.263,0.303,0.296,0.715,0.697,0.499,1
11495,320.191,66.394,1496.543,1286.393,2.183,2.412,5.140,5.679,5.409,9.860,9.888,0.263,0.295,0.524,0.559,1.235,1.317,0.903,1
11496,317.066,69.830,1100.033,1301.664,1.006,0.715,2.369,1.684,2.026,2.865,22.703,0.308,0.217,0.316,0.262,0.744,0.616,0.483,1
11497,307.451,71.269,1935.099,1327.504,2.269,2.531,5.343,5.959,5.651,12.307,11.238,0.254,0.295,0.574,0.629,1.351,1.480,1.002,1
11498,323.665,55.989,1071.101,1335.153,1.047,1.000,2.466,2.354,2.410,3.000,17.277,0.324,0.309,0.342,0.326,0.804,0.767,0.556,1
11499,318.807,48.967,1298.017,1353.345,0.846,0.944,1.991,2.223,2.107,2.966,20.391,0.362,0.399,0.350,0.420,0.825,0.989,0.644,1
11500,324.648,57.943,1330.352,1353.282,0.817,0.636,1.925,1.497,1.711,3.179,32.400,0.405,0.350,0.443,0.392,1.042,0.922,0.696,1
11501,327.298,59.698,755.299,1356.414,0.490,1.293,1.155,3.046,2.100,2.673,53.835,0.407,0.472,0.481,0.487,1.133,1.147,0.806,1
11502,325.276,47.879,868.637,1386.222,1.369,0.900,3.223,2.120,2.672,3.358,17.133,0.491,0.323,0.525,0.344,1.237,0.811,0.740,1
11503,319.957,39.649,1376.915,1396.465,1.438,0.824,3.387,1.941,2.664,3.184,17.204,0.605,0.341,0.645,0.406,1.519,0.955,0.897,1
11504,320.880,43.979,1067.473,1403.368,1.112,0.862,2.619,2.029,2.324,3.120,19.402,0.484,0.373,0.510,0.410,1.200,0.966,0.770,1
11505,314.858,72.035,1433.246,1438.050,0.725,0.885,1.706,2.085,1.896,2.922,23.349,0.242,0.290,0.248,0.286,0.583,0.674,0.446,1
11506,314.734,37.522,861.627,1454.606,0.807,1.445,1.900,3.404,2.652,3.211,17.565,0.363,0.658,0.424,0.701,0.998,1.650,0.964,1
11507,315.123,66.391,681.358,1465.746,1.067,0.562,2.513,1.323,1.918,2.663,27.190,0.356,0.264,0.366,0.268,0.863,0.631,0.534,1
