 ,baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
1333,308.158,50.343,258.951,1480.207,0.532,1.058,1.252,2.491,1.871,2.860,21.013,0.398,0.493,0.232,0.504,0.546,1.186,0.653,7
1334,359.133,65.899,1552.423,1563.411,0.699,1.738,1.645,4.092,2.869,4.737,29.189,0.253,0.680,0.379,0.754,0.893,1.775,0.994,7
1335,289.713,48.870,30.845,1806.617,0.635,1.292,1.496,3.041,2.269,2.355,15.389,0.243,0.423,0.201,0.440,0.474,1.035,0.569,7
1336,313.038,51.479,1484.637,1837.637,1.201,0.976,2.827,2.298,2.563,3.080,16.342,0.380,0.309,0.406,0.333,0.957,0.784,0.619,7
1337,303.242,68.286,744.692,1978.984,1.030,0.680,2.426,1.600,2.013,2.995,21.044,0.341,0.249,0.353,0.192,0.831,0.453,0.473,7
1338,300.566,36.183,1241.700,2036.832,1.205,1.172,2.838,2.760,2.799,3.212,14.573,0.485,0.472,0.530,0.516,1.248,1.214,0.871,7
1339,290.000,56.108,283.371,59.273,0.895,1.047,2.108,2.465,2.287,3.040,19.126,0.301,0.354,0.326,0.372,0.768,0.876,0.582,7
1340,296.656,29.601,656.212,61.862,1.306,0.883,3.075,2.080,2.577,3.487,18.613,0.828,0.563,0.882,0.582,2.076,1.369,1.244,7
1341,301.299,46.718,374.322,224.591,0.479,1.366,1.128,3.217,2.173,2.734,72.174,0.579,0.648,0.760,0.670,1.789,1.578,1.193,7
1342,354.036,52.233,1890.323,280.815,1.168,0.913,2.751,2.149,2.450,3.885,22.053,0.495,0.387,0.524,0.405,1.235,0.954,0.780,7
1343,297.763,57.488,413.631,300.031,0.924,0.896,2.177,2.110,2.143,2.400,16.249,0.262,0.256,0.278,0.256,0.656,0.604,0.446,7
1344,293.064,42.326,64.839,373.103,1.208,1.391,2.846,3.276,3.061,3.572,13.803,0.394,0.454,0.443,0.508,1.043,1.197,0.794,7
1345,311.321,53.917,747.810,432.205,1.028,0.583,2.421,1.372,1.896,2.699,23.363,0.425,0.318,0.436,0.278,1.027,0.654,0.609,7
1346,305.641,43.128,446.638,468.982,0.944,1.172,2.223,2.759,2.491,3.295,18.292,0.398,0.495,0.430,0.526,1.012,1.239,0.800,7
